PRODUCT,DESC_1,Qty net,DATE_DELIV,
50,Hamburger 8,622,1/2/16,
50,Hamburger 8,30,1/4/16,
50,Hamburger 8,585,1/5/16,
50,Hamburger 8,342,1/6/16,
50,Hamburger 8,543,1/7/16,
50,Hamburger 8,651,1/8/16,
50,Hamburger 8,823,1/9/16,
50,Hamburger 8,9,1/11/16,
50,Hamburger 8,694,1/12/16,
50,Hamburger 8,339,1/13/16,
50,Hamburger 8,558,1/14/16,
50,Hamburger 8,553,1/15/16,
50,Hamburger 8,802,1/16/16,
50,Hamburger 8,4,1/18/16,
50,Hamburger 8,734,1/19/16,
50,Hamburger 8,347,1/20/16,
50,Hamburger 8,615,1/21/16,
50,Hamburger 8,561,1/22/16,
50,Hamburger 8,782,1/23/16,
50,Hamburger 8,8,1/24/16,
50,Hamburger 8,721,1/26/16,
50,Hamburger 8,341,1/27/16,
50,Hamburger 8,519,1/28/16,
50,Hamburger 8,604,1/29/16,
50,Hamburger 8,908,1/30/16,
50,Hamburger 8,12,2/1/16,
50,Hamburger 8,798,2/2/16,
50,Hamburger 8,315,2/3/16,
50,Hamburger 8,629,2/4/16,
50,Hamburger 8,698,2/5/16,
50,Hamburger 8,928,2/6/16,
50,Hamburger 8,3,2/8/16,
50,Hamburger 8,733,2/9/16,
50,Hamburger 8,351,2/10/16,
50,Hamburger 8,645,2/11/16,
50,Hamburger 8,638,2/12/16,
50,Hamburger 8,875,2/13/16,
50,Hamburger 8,616,2/16/16,
50,Hamburger 8,374,2/17/16,
50,Hamburger 8,555,2/18/16,
50,Hamburger 8,590,2/19/16,
50,Hamburger 8,884,2/20/16,
50,Hamburger 8,2,2/22/16,
50,Hamburger 8,860,2/23/16,
50,Hamburger 8,381,2/24/16,
50,Hamburger 8,655,2/25/16,
50,Hamburger 8,659,2/26/16,
50,Hamburger 8,910,2/27/16,
50,Hamburger 8,740,3/1/16,
50,Hamburger 8,284,3/2/16,
50,Hamburger 8,667,3/3/16,
50,Hamburger 8,656,3/4/16,
50,Hamburger 8,1000,3/5/16,
50,Hamburger 8,867,3/8/16,
50,Hamburger 8,425,3/9/16,
50,Hamburger 8,831,3/10/16,
50,Hamburger 8,608,3/11/16,
50,Hamburger 8,1123,3/12/16,
50,Hamburger 8,846,3/15/16,
50,Hamburger 8,412,3/16/16,
50,Hamburger 8,739,3/17/16,
50,Hamburger 8,800,3/18/16,
50,Hamburger 8,1189,3/19/16,
50,Hamburger 8,881,3/22/16,
50,Hamburger 8,468,3/23/16,
50,Hamburger 8,1023,3/24/16,
50,Hamburger 8,86,3/25/16,
50,Hamburger 8,1124,3/26/16,
50,Hamburger 8,775,3/29/16,
50,Hamburger 8,503,3/30/16,
50,Hamburger 8,787,3/31/16,
50,Hamburger 8,694,4/1/16,
50,Hamburger 8,1147,4/2/16,
50,Hamburger 8,3,4/4/16,
50,Hamburger 8,904,4/5/16,
50,Hamburger 8,393,4/6/16,
50,Hamburger 8,739,4/7/16,
50,Hamburger 8,709,4/8/16,
50,Hamburger 8,1151,4/9/16,
50,Hamburger 8,4,4/11/16,
50,Hamburger 8,875,4/12/16,
50,Hamburger 8,466,4/13/16,
50,Hamburger 8,830,4/14/16,
50,Hamburger 8,1244,4/15/16,
50,Hamburger 8,1583,4/16/16,
50,Hamburger 8,50,4/18/16,
50,Hamburger 8,1284,4/19/16,
50,Hamburger 8,695,4/20/16,
50,Hamburger 8,1200,4/21/16,
50,Hamburger 8,1445,4/22/16,
50,Hamburger 8,1865,4/23/16,
50,Hamburger 8,-1,4/24/16,
50,Hamburger 8,52,4/25/16,
50,Hamburger 8,1115,4/26/16,
50,Hamburger 8,691,4/27/16,
50,Hamburger 8,1011,4/28/16,
50,Hamburger 8,1293,4/29/16,
50,Hamburger 8,1608,4/30/16,
50,Hamburger 8,33,5/2/16,
50,Hamburger 8,1008,5/3/16,
50,Hamburger 8,555,5/4/16,
50,Hamburger 8,956,5/5/16,
50,Hamburger 8,1220,5/6/16,
50,Hamburger 8,1501,5/7/16,
50,Hamburger 8,51,5/9/16,
50,Hamburger 8,1069,5/10/16,
50,Hamburger 8,559,5/11/16,
50,Hamburger 8,986,5/12/16,
50,Hamburger 8,1012,5/13/16,
50,Hamburger 8,1618,5/14/16,
50,Hamburger 8,45,5/16/16,
50,Hamburger 8,926,5/17/16,
50,Hamburger 8,737,5/18/16,
50,Hamburger 8,1477,5/19/16,
50,Hamburger 8,1468,5/20/16,
50,Hamburger 8,2164,5/21/16,
50,Hamburger 8,43,5/22/16,
50,Hamburger 8,1162,5/24/16,
50,Hamburger 8,724,5/25/16,
50,Hamburger 8,1293,5/26/16,
50,Hamburger 8,1332,5/27/16,
50,Hamburger 8,1830,5/28/16,
50,Hamburger 8,64,5/30/16,
50,Hamburger 8,1375,5/31/16,
50,Hamburger 8,689,6/1/16,
50,Hamburger 8,1231,6/2/16,
50,Hamburger 8,1183,6/3/16,
50,Hamburger 8,1909,6/4/16,
50,Hamburger 8,50,6/6/16,
50,Hamburger 8,1077,6/7/16,
50,Hamburger 8,560,6/8/16,
50,Hamburger 8,1091,6/9/16,
50,Hamburger 8,1064,6/10/16,
50,Hamburger 8,1674,6/11/16,
50,Hamburger 8,44,6/13/16,
50,Hamburger 8,991,6/14/16,
50,Hamburger 8,664,6/15/16,
50,Hamburger 8,1104,6/16/16,
50,Hamburger 8,1173,6/17/16,
50,Hamburger 8,1923,6/18/16,
50,Hamburger 8,34,6/20/16,
50,Hamburger 8,1316,6/21/16,
50,Hamburger 8,717,6/22/16,
50,Hamburger 8,1402,6/23/16,
50,Hamburger 8,1640,6/24/16,
50,Hamburger 8,1676,6/25/16,
50,Hamburger 8,59,6/27/16,
50,Hamburger 8,1025,6/28/16,
50,Hamburger 8,1135,6/29/16,
50,Hamburger 8,2734,6/30/16,
50,Hamburger 8,66,7/1/16,
50,Hamburger 8,2246,7/2/16,
50,Hamburger 8,55,7/3/16,
50,Hamburger 8,17,7/4/16,
50,Hamburger 8,1349,7/5/16,
50,Hamburger 8,739,7/6/16,
50,Hamburger 8,1186,7/7/16,
50,Hamburger 8,1249,7/8/16,
50,Hamburger 8,1637,7/9/16,
50,Hamburger 8,36,7/11/16,
50,Hamburger 8,1038,7/12/16,
50,Hamburger 8,696,7/13/16,
50,Hamburger 8,1329,7/14/16,
50,Hamburger 8,1257,7/15/16,
50,Hamburger 8,1654,7/16/16,
50,Hamburger 8,86,7/18/16,
50,Hamburger 8,801,7/19/16,
50,Hamburger 8,671,7/20/16,
50,Hamburger 8,1219,7/21/16,
50,Hamburger 8,1225,7/22/16,
50,Hamburger 8,1783,7/23/16,
50,Hamburger 8,104,7/25/16,
50,Hamburger 8,1117,7/26/16,
50,Hamburger 8,655,7/27/16,
50,Hamburger 8,1258,7/28/16,
50,Hamburger 8,1359,7/29/16,
50,Hamburger 8,1912,7/30/16,
50,Hamburger 8,95,8/1/16,
50,Hamburger 8,1057,8/2/16,
50,Hamburger 8,635,8/3/16,
50,Hamburger 8,1131,8/4/16,
50,Hamburger 8,1243,8/5/16,
50,Hamburger 8,1743,8/6/16,
50,Hamburger 8,90,8/8/16,
50,Hamburger 8,1112,8/9/16,
50,Hamburger 8,644,8/10/16,
50,Hamburger 8,974,8/11/16,
50,Hamburger 8,1174,8/12/16,
50,Hamburger 8,1583,8/13/16,
50,Hamburger 8,72,8/15/16,
50,Hamburger 8,929,8/16/16,
50,Hamburger 8,428,8/17/16,
50,Hamburger 8,822,8/18/16,
50,Hamburger 8,1146,8/19/16,
50,Hamburger 8,1488,8/20/16,
50,Hamburger 8,59,8/22/16,
50,Hamburger 8,777,8/23/16,
50,Hamburger 8,711,8/24/16,
50,Hamburger 8,1011,8/25/16,
50,Hamburger 8,1093,8/26/16,
50,Hamburger 8,1394,8/27/16,
50,Hamburger 8,70,8/29/16,
50,Hamburger 8,969,8/30/16,
50,Hamburger 8,644,8/31/16,
50,Hamburger 8,922,9/1/16,
50,Hamburger 8,1226,9/2/16,
50,Hamburger 8,1576,9/3/16,
50,Hamburger 8,56,9/4/16,
50,Hamburger 8,2,9/5/16,
50,Hamburger 8,903,9/6/16,
50,Hamburger 8,573,9/7/16,
50,Hamburger 8,794,9/8/16,
50,Hamburger 8,948,9/9/16,
50,Hamburger 8,1215,9/10/16,
50,Hamburger 8,45,9/12/16,
50,Hamburger 8,776,9/13/16,
50,Hamburger 8,495,9/14/16,
50,Hamburger 8,853,9/15/16,
50,Hamburger 8,883,9/16/16,
50,Hamburger 8,1109,9/17/16,
50,Hamburger 8,53,9/19/16,
50,Hamburger 8,771,9/20/16,
50,Hamburger 8,506,9/21/16,
50,Hamburger 8,774,9/22/16,
50,Hamburger 8,861,9/23/16,
50,Hamburger 8,1232,9/24/16,
50,Hamburger 8,17,9/25/16,
50,Hamburger 8,68,9/26/16,
50,Hamburger 8,732,9/27/16,
50,Hamburger 8,455,9/28/16,
50,Hamburger 8,670,9/29/16,
50,Hamburger 8,704,9/30/16,
50,Hamburger 8,1002,10/1/16,
50,Hamburger 8,45,10/3/16,
50,Hamburger 8,644,10/4/16,
50,Hamburger 8,482,10/5/16,
50,Hamburger 8,674,10/6/16,
50,Hamburger 8,678,10/7/16,
50,Hamburger 8,993,10/8/16,
50,Hamburger 8,32,10/9/16,
50,Hamburger 8,739,10/11/16,
50,Hamburger 8,358,10/12/16,
50,Hamburger 8,557,10/13/16,
50,Hamburger 8,639,10/14/16,
50,Hamburger 8,976,10/15/16,
50,Hamburger 8,45,10/17/16,
50,Hamburger 8,668,10/18/16,
50,Hamburger 8,383,10/19/16,
50,Hamburger 8,688,10/20/16,
50,Hamburger 8,649,10/21/16,
50,Hamburger 8,850,10/22/16,
50,Hamburger 8,44,10/24/16,
50,Hamburger 8,717,10/25/16,
50,Hamburger 8,413,10/26/16,
50,Hamburger 8,661,10/27/16,
50,Hamburger 8,526,10/28/16,
50,Hamburger 8,847,10/29/16,
50,Hamburger 8,44,10/31/16,
50,Hamburger 8,698,11/1/16,
50,Hamburger 8,358,11/2/16,
50,Hamburger 8,699,11/3/16,
50,Hamburger 8,681,11/4/16,
50,Hamburger 8,885,11/5/16,
50,Hamburger 8,51,11/7/16,
50,Hamburger 8,759,11/8/16,
50,Hamburger 8,380,11/9/16,
50,Hamburger 8,720,11/10/16,
50,Hamburger 8,708,11/11/16,
50,Hamburger 8,933,11/12/16,
50,Hamburger 8,47,11/14/16,
50,Hamburger 8,803,11/15/16,
50,Hamburger 8,357,11/16/16,
50,Hamburger 8,710,11/17/16,
50,Hamburger 8,737,11/18/16,
50,Hamburger 8,944,11/19/16,
50,Hamburger 8,37,11/21/16,
50,Hamburger 8,647,11/22/16,
50,Hamburger 8,377,11/23/16,
50,Hamburger 8,573,11/24/16,
50,Hamburger 8,558,11/25/16,
50,Hamburger 8,810,11/26/16,
50,Hamburger 8,51,11/28/16,
50,Hamburger 8,629,11/29/16,
50,Hamburger 8,376,11/30/16,
50,Hamburger 8,624,12/1/16,
50,Hamburger 8,591,12/2/16,
50,Hamburger 8,941,12/3/16,
50,Hamburger 8,14,12/5/16,
50,Hamburger 8,671,12/6/16,
50,Hamburger 8,358,12/7/16,
50,Hamburger 8,583,12/8/16,
50,Hamburger 8,597,12/9/16,
50,Hamburger 8,808,12/10/16,
50,Hamburger 8,16,12/12/16,
50,Hamburger 8,618,12/13/16,
50,Hamburger 8,376,12/14/16,
50,Hamburger 8,522,12/15/16,
50,Hamburger 8,446,12/16/16,
50,Hamburger 8,703,12/17/16,
50,Hamburger 8,54,12/18/16,
50,Hamburger 8,35,12/19/16,
50,Hamburger 8,560,12/20/16,
50,Hamburger 8,339,12/21/16,
50,Hamburger 8,540,12/22/16,
50,Hamburger 8,429,12/23/16,
50,Hamburger 8,609,12/24/16,
50,Hamburger 8,428,12/27/16,
50,Hamburger 8,328,12/28/16,
50,Hamburger 8,492,12/29/16,
50,Hamburger 8,555,12/30/16,
50,Hamburger 8,593,12/31/16,
51,Hamburger 12,187,1/2/16,
51,Hamburger 12,216,1/4/16,
51,Hamburger 12,725,1/5/16,
51,Hamburger 12,118,1/6/16,
51,Hamburger 12,494,1/7/16,
51,Hamburger 12,448,1/8/16,
51,Hamburger 12,695,1/9/16,
51,Hamburger 12,554,1/12/16,
51,Hamburger 12,366,1/13/16,
51,Hamburger 12,438,1/14/16,
51,Hamburger 12,414,1/15/16,
51,Hamburger 12,632,1/16/16,
51,Hamburger 12,688,1/19/16,
51,Hamburger 12,291,1/20/16,
51,Hamburger 12,474,1/21/16,
51,Hamburger 12,389,1/22/16,
51,Hamburger 12,755,1/23/16,
51,Hamburger 12,665,1/26/16,
51,Hamburger 12,396,1/27/16,
51,Hamburger 12,484,1/28/16,
51,Hamburger 12,542,1/29/16,
51,Hamburger 12,735,1/30/16,
51,Hamburger 12,562,2/2/16,
51,Hamburger 12,282,2/3/16,
51,Hamburger 12,459,2/4/16,
51,Hamburger 12,438,2/5/16,
51,Hamburger 12,692,2/6/16,
51,Hamburger 12,539,2/9/16,
51,Hamburger 12,377,2/10/16,
51,Hamburger 12,453,2/11/16,
51,Hamburger 12,336,2/12/16,
51,Hamburger 12,776,2/13/16,
51,Hamburger 12,629,2/16/16,
51,Hamburger 12,304,2/17/16,
51,Hamburger 12,331,2/18/16,
51,Hamburger 12,539,2/19/16,
51,Hamburger 12,840,2/20/16,
51,Hamburger 12,757,2/23/16,
51,Hamburger 12,314,2/24/16,
51,Hamburger 12,416,2/25/16,
51,Hamburger 12,399,2/26/16,
51,Hamburger 12,785,2/27/16,
51,Hamburger 12,332,3/1/16,
51,Hamburger 12,247,3/2/16,
51,Hamburger 12,402,3/3/16,
51,Hamburger 12,369,3/4/16,
51,Hamburger 12,773,3/5/16,
51,Hamburger 12,527,3/8/16,
51,Hamburger 12,390,3/9/16,
51,Hamburger 12,397,3/10/16,
51,Hamburger 12,395,3/11/16,
51,Hamburger 12,903,3/12/16,
51,Hamburger 12,504,3/15/16,
51,Hamburger 12,541,3/16/16,
51,Hamburger 12,432,3/17/16,
51,Hamburger 12,460,3/18/16,
51,Hamburger 12,952,3/19/16,
51,Hamburger 12,595,3/22/16,
51,Hamburger 12,385,3/23/16,
51,Hamburger 12,455,3/24/16,
51,Hamburger 12,217,3/25/16,
51,Hamburger 12,747,3/26/16,
51,Hamburger 12,437,3/29/16,
51,Hamburger 12,269,3/30/16,
51,Hamburger 12,464,3/31/16,
51,Hamburger 12,417,4/1/16,
51,Hamburger 12,707,4/2/16,
51,Hamburger 12,572,4/5/16,
51,Hamburger 12,408,4/6/16,
51,Hamburger 12,563,4/7/16,
51,Hamburger 12,446,4/8/16,
51,Hamburger 12,790,4/9/16,
51,Hamburger 12,6,4/11/16,
51,Hamburger 12,767,4/12/16,
51,Hamburger 12,264,4/13/16,
51,Hamburger 12,666,4/14/16,
51,Hamburger 12,724,4/15/16,
51,Hamburger 12,1394,4/16/16,
51,Hamburger 12,884,4/19/16,
51,Hamburger 12,433,4/20/16,
51,Hamburger 12,945,4/21/16,
51,Hamburger 12,735,4/22/16,
51,Hamburger 12,1365,4/23/16,
51,Hamburger 12,829,4/26/16,
51,Hamburger 12,465,4/27/16,
51,Hamburger 12,698,4/28/16,
51,Hamburger 12,824,4/29/16,
51,Hamburger 12,1213,4/30/16,
51,Hamburger 12,783,5/3/16,
51,Hamburger 12,471,5/4/16,
51,Hamburger 12,771,5/5/16,
51,Hamburger 12,847,5/6/16,
51,Hamburger 12,1365,5/7/16,
51,Hamburger 12,715,5/10/16,
51,Hamburger 12,569,5/11/16,
51,Hamburger 12,644,5/12/16,
51,Hamburger 12,878,5/13/16,
51,Hamburger 12,1444,5/14/16,
51,Hamburger 12,1023,5/17/16,
51,Hamburger 12,480,5/18/16,
51,Hamburger 12,1355,5/19/16,
51,Hamburger 12,1775,5/20/16,
51,Hamburger 12,1720,5/21/16,
51,Hamburger 12,6,5/23/16,
51,Hamburger 12,858,5/24/16,
51,Hamburger 12,593,5/25/16,
51,Hamburger 12,958,5/26/16,
51,Hamburger 12,977,5/27/16,
51,Hamburger 12,1968,5/28/16,
51,Hamburger 12,994,5/31/16,
51,Hamburger 12,904,6/1/16,
51,Hamburger 12,1142,6/2/16,
51,Hamburger 12,1287,6/3/16,
51,Hamburger 12,1816,6/4/16,
51,Hamburger 12,273,6/7/16,
51,Hamburger 12,640,6/8/16,
51,Hamburger 12,768,6/9/16,
51,Hamburger 12,1030,6/10/16,
51,Hamburger 12,1506,6/11/16,
51,Hamburger 12,1114,6/14/16,
51,Hamburger 12,726,6/15/16,
51,Hamburger 12,1154,6/16/16,
51,Hamburger 12,1436,6/17/16,
51,Hamburger 12,1945,6/18/16,
51,Hamburger 12,0,6/19/16,
51,Hamburger 12,3,6/20/16,
51,Hamburger 12,743,6/21/16,
51,Hamburger 12,734,6/22/16,
51,Hamburger 12,1359,6/23/16,
51,Hamburger 12,585,6/24/16,
51,Hamburger 12,1777,6/25/16,
51,Hamburger 12,1248,6/28/16,
51,Hamburger 12,953,6/29/16,
51,Hamburger 12,1417,6/30/16,
51,Hamburger 12,59,7/1/16,
51,Hamburger 12,2187,7/2/16,
51,Hamburger 12,36,7/4/16,
51,Hamburger 12,938,7/5/16,
51,Hamburger 12,626,7/6/16,
51,Hamburger 12,973,7/7/16,
51,Hamburger 12,1019,7/8/16,
51,Hamburger 12,1637,7/9/16,
51,Hamburger 12,658,7/12/16,
51,Hamburger 12,352,7/13/16,
51,Hamburger 12,1038,7/14/16,
51,Hamburger 12,962,7/15/16,
51,Hamburger 12,1756,7/16/16,
51,Hamburger 12,681,7/19/16,
51,Hamburger 12,488,7/20/16,
51,Hamburger 12,586,7/21/16,
51,Hamburger 12,1012,7/22/16,
51,Hamburger 12,1670,7/23/16,
51,Hamburger 12,1,7/25/16,
51,Hamburger 12,898,7/26/16,
51,Hamburger 12,550,7/27/16,
51,Hamburger 12,1065,7/28/16,
51,Hamburger 12,1080,7/29/16,
51,Hamburger 12,1445,7/30/16,
51,Hamburger 12,679,8/2/16,
51,Hamburger 12,552,8/3/16,
51,Hamburger 12,1057,8/4/16,
51,Hamburger 12,1083,8/5/16,
51,Hamburger 12,1959,8/6/16,
51,Hamburger 12,920,8/9/16,
51,Hamburger 12,465,8/10/16,
51,Hamburger 12,878,8/11/16,
51,Hamburger 12,854,8/12/16,
51,Hamburger 12,1403,8/13/16,
51,Hamburger 12,747,8/16/16,
51,Hamburger 12,437,8/17/16,
51,Hamburger 12,888,8/18/16,
51,Hamburger 12,734,8/19/16,
51,Hamburger 12,1498,8/20/16,
51,Hamburger 12,749,8/23/16,
51,Hamburger 12,447,8/24/16,
51,Hamburger 12,717,8/25/16,
51,Hamburger 12,798,8/26/16,
51,Hamburger 12,1224,8/27/16,
51,Hamburger 12,806,8/30/16,
51,Hamburger 12,527,8/31/16,
51,Hamburger 12,962,9/1/16,
51,Hamburger 12,943,9/2/16,
51,Hamburger 12,1174,9/3/16,
51,Hamburger 12,708,9/6/16,
51,Hamburger 12,442,9/7/16,
51,Hamburger 12,686,9/8/16,
51,Hamburger 12,777,9/9/16,
51,Hamburger 12,1062,9/10/16,
51,Hamburger 12,810,9/13/16,
51,Hamburger 12,322,9/14/16,
51,Hamburger 12,649,9/15/16,
51,Hamburger 12,589,9/16/16,
51,Hamburger 12,1077,9/17/16,
51,Hamburger 12,716,9/20/16,
51,Hamburger 12,412,9/21/16,
51,Hamburger 12,677,9/22/16,
51,Hamburger 12,985,9/23/16,
51,Hamburger 12,1263,9/24/16,
51,Hamburger 12,706,9/27/16,
51,Hamburger 12,432,9/28/16,
51,Hamburger 12,603,9/29/16,
51,Hamburger 12,769,9/30/16,
51,Hamburger 12,1175,10/1/16,
51,Hamburger 12,6,10/3/16,
51,Hamburger 12,517,10/4/16,
51,Hamburger 12,279,10/5/16,
51,Hamburger 12,510,10/6/16,
51,Hamburger 12,592,10/7/16,
51,Hamburger 12,788,10/8/16,
51,Hamburger 12,701,10/11/16,
51,Hamburger 12,282,10/12/16,
51,Hamburger 12,557,10/13/16,
51,Hamburger 12,561,10/14/16,
51,Hamburger 12,860,10/15/16,
51,Hamburger 12,561,10/18/16,
51,Hamburger 12,349,10/19/16,
51,Hamburger 12,438,10/20/16,
51,Hamburger 12,650,10/21/16,
51,Hamburger 12,788,10/22/16,
51,Hamburger 12,501,10/25/16,
51,Hamburger 12,275,10/26/16,
51,Hamburger 12,525,10/27/16,
51,Hamburger 12,467,10/28/16,
51,Hamburger 12,768,10/29/16,
51,Hamburger 12,578,11/1/16,
51,Hamburger 12,316,11/2/16,
51,Hamburger 12,468,11/3/16,
51,Hamburger 12,517,11/4/16,
51,Hamburger 12,849,11/5/16,
51,Hamburger 12,617,11/8/16,
51,Hamburger 12,541,11/9/16,
51,Hamburger 12,582,11/10/16,
51,Hamburger 12,456,11/11/16,
51,Hamburger 12,833,11/12/16,
51,Hamburger 12,659,11/15/16,
51,Hamburger 12,322,11/16/16,
51,Hamburger 12,496,11/17/16,
51,Hamburger 12,625,11/18/16,
51,Hamburger 12,855,11/19/16,
51,Hamburger 12,653,11/22/16,
51,Hamburger 12,268,11/23/16,
51,Hamburger 12,417,11/24/16,
51,Hamburger 12,520,11/25/16,
51,Hamburger 12,877,11/26/16,
51,Hamburger 12,572,11/29/16,
51,Hamburger 12,239,11/30/16,
51,Hamburger 12,559,12/1/16,
51,Hamburger 12,484,12/2/16,
51,Hamburger 12,758,12/3/16,
51,Hamburger 12,618,12/6/16,
51,Hamburger 12,181,12/7/16,
